Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Population ages 50-54, female (% of female population);SP.POP.5054.FE.5Y;3.402505243;3.29935297;3.176371041;3.05110203;2.952328695;2.893727413;2.865772874;2.861226851;2.883556759;2.936044944;3.010555521;3.111117566;3.242949771;3.378315739;3.476202699;3.527090336;3.531536932;3.485571273;3.40988664;3.336836271;3.277790486;3.221967739;3.181570809;3.15736164;3.128843576;3.091424342;3.052771424;3.017231272;2.981908626;2.941657538;2.890237081;2.839025363;2.799429837;2.778360564;2.779312341;2.804470038;2.85850675;2.937365561;3.031990785;3.179386465;3.37063842;3.554700429;3.741964705;3.929521221;4.067218505;4.167718716;4.273038148;4.383251704;4.497773967;4.612168089;4.714103567;4.798177554;4.86190931;4.901863812;4.902484386;4.885445169;4.924019725;4.995627125;5.086456727;5.21750246;5.363832586;5.506815779;5.6234699
Population ages 40-44, female (% of female population);SP.POP.4044.FE.5Y;4.369064012;4.51166758;4.700415872;4.894086831;5.034006709;5.106805061;5.113506318;5.049403776;4.946458838;4.853119552;4.786625534;4.743907447;4.72677423;4.722794489;4.708570172;4.672941624;4.622637497;4.562585307;4.488607922;4.391073896;4.274611784;4.164655362;4.053011553;3.937212119;3.850974243;3.803932599;3.795700599;3.822283378;3.87177983;3.990455272;4.186030603;4.37505137;4.541002549;4.694139759;4.808339674;4.896328673;4.998107691;5.1138444;5.240520345;5.371166645;5.490955895;5.588810317;5.666407222;5.723842311;5.760552289;5.794017657;5.839613281;5.896814801;5.965490537;6.047220485;6.131708409;6.205736475;6.255994618;6.286032707;6.389292896;6.574635539;6.716296073;6.849531524;7.052342587;7.322551447;7.660289348;8.035327002;8.410364523
Population ages 30-34, female (% of female population);SP.POP.3034.FE.5Y;6.637508075;6.564658883;6.532960198;6.522937552;6.504218356;6.461718082;6.403170677;6.330561495;6.238581784;6.12098887;5.986827434;5.841771024;5.694033873;5.564656857;5.473081675;5.428489055;5.416828408;5.436238285;5.478395617;5.605699429;5.800171831;6.050360114;6.269091959;6.399707451;6.457469258;6.451714672;6.460310309;6.487229804;6.527431481;6.576039517;6.703243369;6.820160276;6.83357481;6.73298581;6.6150028;6.584410901;6.590060202;6.637965426;6.722575124;6.832752788;6.956350942;7.078379319;7.135249212;7.16816739;7.245026882;7.356228416;7.535656574;7.794682878;8.129438515;8.541383484;9.004916361;9.452755472;9.894517849;10.31926067;10.56594286;10.63678716;10.69548232;10.70837188;10.6008133;10.39340883;10.11302816;9.792494791;9.441834621
Population ages 20-24, female (% of female population);SP.POP.2024.FE.5Y;7.937602387;7.725807071;7.520326914;7.34387113;7.228994556;7.191726493;7.213345898;7.275488278;7.36262045;7.580127424;7.90844681;8.208627357;8.482107467;8.744495039;8.894702526;8.936083521;8.959587785;8.978480796;9.005707404;9.024368927;9.014200896;9.080323112;9.08860813;8.942703857;8.774994535;8.612117948;8.490233919;8.411977007;8.365366726;8.352174002;8.499167821;8.633803998;8.574311481;8.329661424;8.122240227;8.136614034;8.275685247;8.56399319;8.983935518;9.507001659;10.09987677;10.69031719;11.21374623;11.72219156;12.18525841;12.52161115;12.72823278;12.74812607;12.58253139;12.29733128;11.93213165;11.52596382;11.08023145;10.57122112;9.870663728;9.030208896;8.277498082;7.658056048;7.148754649;6.756277377;6.469257426;6.281227266;6.173216965
Population ages 15-64, male;SP.POP.1564.MA.IN;5766696;5884189;6019151;6170819;6358216;6576373;6794898;7008550;7222063;7444366;7682482;7931200;8192691;8472601;8766554;9075693;9370142;9659384;9968775;10288722;10622942;11306823;11982899;12318618;12682621;13062895;13442706;13819095;14191406;14588066;15302847;16077661;16546768;16657449;16806403;17310570;17883811;18562456;19340307;20156542;21008735;21884676;22537661;23194007;24067715;24915706;25714149;26426999;27034952;27549858;27992357;28311620;28553191;28804695;29092412;29439412;29733832;29953917;30155888;30344453;30495459;30657319;30855136
Population ages 15-19, female (% of female population);SP.POP.1519.FE.5Y;8.211713827;8.223063345;8.311798043;8.444905835;8.733279985;9.141992425;9.505223855;9.821365918;10.11137657;10.2705358;10.31470842;10.36987839;10.44135499;10.52710545;10.61202304;10.66478748;10.6584518;10.60381807;10.51095312;10.37594994;10.23223971;10.13250368;10.02932887;9.908179512;9.820902513;9.750208216;9.677776446;9.589646161;9.490430872;9.409851084;9.40594622;9.462967018;9.569860322;9.769040141;10.14576317;10.68706482;11.25872706;11.86041845;12.45716868;12.94156954;13.28691542;13.49289011;13.52028052;13.37389086;13.10231781;12.73677622;12.33323348;11.88773538;11.36234259;10.71435274;9.945993206;9.097497765;8.245598811;7.501803544;7.034528394;6.854853515;6.710183767;6.551160115;6.440683594;6.378179954;6.372345826;6.424909619;6.51979758
Population ages 05-09, female (% of female population);SP.POP.0509.FE.5Y;14.05397318;14.13768194;14.22780929;14.32568891;14.42444417;14.48647668;14.4897751;14.44940556;14.36823072;14.24491279;14.12160336;14.04864285;14.02467018;14.03344791;14.06997355;14.10437105;14.1019972;14.02561348;13.87755748;13.70386313;13.55637026;13.39746042;13.36935387;13.55797125;13.85900361;14.2380836;14.60454483;14.98909003;15.38661442;15.68414711;15.6950701;15.57451598;15.45770202;15.35799643;15.14612158;14.70778142;14.23555475;13.7077591;13.07848598;12.30860036;11.39897844;10.40527478;9.472259287;8.659413635;8.020009899;7.60430946;7.348948194;7.206357634;7.122757801;7.071376649;7.046793112;7.057967855;7.112405727;7.20456816;7.387332198;7.614454734;7.751719395;7.844791684;7.974780393;8.135078648;8.303812728;8.444847112;8.522417459
Population ages 0-14, male;SP.POP.0014.MA.IN;4743830;4941057;5134950;5327901;5501074;5656844;5816802;5980384;6145052;6311566;6479925;6646429;6807406;6965659;7130767;7310487;7514886;7745347;7998422;8284700;8601282;8956631;9339046;9726139;10125093;10527750;10923820;11302549;11654434;11971745;12282806;12558142;12737764;12785554;12717021;12573386;12354123;12064235;11722572;11357193;10982421;10613028;10230844;9861620;9538310;9243862;8974957;8750859;8597081;8534642;8563592;8659032;8821946;9043650;9388379;9813925;10133628;10365579;10564794;10686261;10729074;10728510;10696221
Population ages 00-04, female (% of female population);SP.POP.0004.FE.5Y;18.13494841;18.10019755;17.99783145;17.83977697;17.6348909;17.43634188;17.2988899;17.22225112;17.18655616;17.18261507;17.17184691;17.11881209;17.00036991;16.82770025;16.65474714;16.53567725;16.54825532;16.70583092;16.97854847;17.36305624;17.80646686;18.0755086;18.33618699;18.68532305;18.87328911;18.89169316;18.7504241;18.38887218;17.82846287;17.15545319;16.2865397;15.43984049;14.74450351;14.12289482;13.36181729;12.37306258;11.30047214;10.22978584;9.293027987;8.595664211;8.141649484;7.86254848;7.721945452;7.64244834;7.583909603;7.558592346;7.568563676;7.628432847;7.740748761;7.881318389;8.028982371;8.185191254;8.359380782;8.549351009;8.744430758;8.887608343;8.966463769;8.98777405;8.885017255;8.596890796;8.17630466;7.714221762;7.234486787
Fertility rate, total (births per woman);SP.DYN.TFRT.IN;7.301;7.227;7.224;7.181;7.131;7.106;7.075;7.051;6.974;6.899;6.707;6.51;6.25;6.106;6.042;6.008;6.136;6.203;6.332;6.531;6.584;6.558;6.554;6.511;6.436;6.264;6.012;5.69;5.387;5.108;4.863;4.506;4.082;3.683;3.271;2.885;2.566;2.333;2.197;2.099;2.016;1.94;1.865;1.824;1.796;1.775;1.771;1.768;1.767;1.766;1.768;1.8;1.886;1.961;2.036;2.053;2.07;2.074;1.968;1.77;1.708;1.692;null
